value,timestamp
0,1474707411234
0.939,1474707435227
0.95,1474707436243
0,1474707437225
0.465,1474707449337
0.467,1474707450311
0.941,1474707451315
0.947,1474707452282
0,1474707453315
0.464,1474707455323
0.467,1474707456354
0,1474707457297
0.94,1474707466357
0.946,1474707467367
0,1474707468349
0.467,1474707480607
0,1474707482484
0.468,1474707492490
0.462,1474707493490
0,1474707494498
0.462,1474707504496
0.461,1474707505495
0,1474707506497
0.939,1474707511503
0.946,1474707512498
0,1474707513502
0.938,1474707516501
0.946,1474707518504
0.939,1474707519502
0,1474707520505
0.939,1474707529509
0.946,1474707530508
0,1474707531509
0.95,1474707552529
0.949,1474707553530
0,1474707554526
0.944,1474707563534
0.938,1474707564598
0,1474707565594
0.94,1474707574602
0.944,1474707575604
0,1474707576603
0.946,1474707587609
0.464,1474707589610
0,1474707591612
0.939,1474707601616
0.944,1474707602618
0,1474707603616
0.94,1474707606618
0.945,1474707608622
0.952,1474707609620
0,1474707610622
0.95,1474707619631
0.944,1474707620626
0,1474707621628
0.94,1474707624629
0,1474707626629
0.95,1474707637637
0.944,1474707638639
0,1474707639638
0.951,1474707655645
0.945,1474707656696
0,1474707657645
0.95,1474707691786
0.946,1474707692787
0,1474707693788
0.462,1474707702790
0.467,1474707703790
0,1474707704793
0.95,1474707709793
0.946,1474707710795
0,1474707711793
0.946,1474707722797
0.952,1474707723796
0,1474707724799
0.946,1474707779844
0.951,1474707780895
0,1474707781888
0.94,1474707789955
0.95,1474707790914
0,1474707791952
0.95,1474707799946
0.946,1474707800964
0,1474707801946
0.941,1474707866129
0.935,1474707867077
0,1474707868072
0.941,1474707871073
0.95,1474707872070
0.944,1474707873073
0.952,1474707874071
0,1474707875108
0.951,1474707878074
0.944,1474707879155
0,1474707880120
0.941,1474707883152
0.951,1474707884123
0.944,1474707885141
0.952,1474707886126
0,1474707887143
0.946,1474707888134
0.952,1474707889130
0,1474707890130
0.951,1474707895161
0,1474707897155
0.95,1474707920201
0.946,1474707921189
0,1474707922200
0.945,1474707936205
0.951,1474707937199
0,1474707938217
0.95,1474707943291
0,1474707945280
0.952,1474707962294
0.946,1474707963265
0,1474707964285
0.95,1474707967264
0.951,1474707968285
0,1474707969266
0.951,1474707992366
0.945,1474707993350
0,1474707994369
0.95,1474708004401
0.946,1474708005449
0,1474708006422
0.94,1474708048503
0,1474708050498
0.94,1474708060503
0.951,1474708061505
0,1474708062583
0.94,1474708085568
0.946,1474708086603
0,1474708087581
0.939,1474708093579
0.95,1474708094595
0,1474708095575
0.94,1474708099577
0.95,1474708100608
0.944,1474708101588
0.951,1474708102610
0,1474708103592
0.949,1474708114658
0,1474708116659
0.945,1474708128757
0.939,1474708129715
0,1474708130764
0.468,1474708135724
1.417,1474708136756
0.946,1474708137713
0,1474708138756
0.945,1474708221791
0.952,1474708222801
0,1474708223800
0.945,1474708224801
0.94,1474708225796
0.95,1474708226806
0.944,1474708227797
0,1474708228806
0.94,1474708231798
0.95,1474708232800
0.945,1474708233796
0.951,1474708234800
0,1474708235803
0.946,1474708236860
0.94,1474708237838
0,1474708238860
0.94,1474708249915
1.415,1474708250891
0.464,1474708251899
0,1474708252890
0.945,1474708263900
0.952,1474708264899
0,1474708265896
0.944,1474708275911
0.94,1474708276907
0,1474708277920
0.945,1474708321172
0.938,1474708322183
0,1474708323170
0.946,1474708327162
0.939,1474708328196
0,1474708329160
0.946,1474708351181
0.939,1474708352182
0,1474708353182
0.935,1474708354183
1.896,1474708355183
0.94,1474708356189
0,1474708357194
0.467,1474708371194
0.464,1474708372195
0,1474708373195
0.95,1474708421291
0.938,1474708422284
0,1474708423290
0.939,1474708425297
0.942,1474708426283
0,1474708427300
0.951,1474708443308
0.945,1474708444293
0,1474708445296
0.94,1474708448296
0.95,1474708449312
0,1474708450298
0.952,1474708478352
0.95,1474708479364
0,1474708480344
0.95,1474708491355
0.944,1474708492351
0,1474708493366
0.94,1474708494351
0.946,1474708495372
0,1474708496421
0.94,1474708506375
0.946,1474708507362
0,1474708508370
0.455,1474708509359
1.4,1474708510379
0.94,1474708511363
0,1474708512370
0.94,1474708565422
0.95,1474708566412
0,1474708567398
0.949,1474708610457
0.95,1474708611474
0,1474708612506
0.946,1474708615486
0.949,1474708616489
0,1474708617485
0.95,1474708628537
0.952,1474708629544
0,1474708630562
0.94,1474708658615
0.951,1474708659612
0,1474708660620
0.94,1474708662617
0.946,1474708663622
0,1474708664615
0.944,1474708714698
0.94,1474708715700
0,1474708716698
0.94,1474708718700
0.939,1474708719700
0,1474708720699
0.951,1474708730703
0.95,1474708731706
0,1474708732704
0.944,1474708762801
0.952,1474708763719
0,1474708764769
0.462,1474708767739
